ordered_names,ordered_items
E_activity_level_1,Am always busy.
E_activity_level_2,Am always on the go.
E_activity_level_3,Do a lot in my spare time.
E_activity_level_4,Like to take it easy.
E_assertiveness_1,Take charge.
E_assertiveness_2,Try to lead others.
E_assertiveness_3,Take control of things.
E_assertiveness_4,Wait for others to lead the way.
E_cheerfulness_1,Radiate joy.
E_cheerfulness_2,Have a lot of fun.
E_cheerfulness_3,Love life.
E_cheerfulness_4,Look at the bright side of life.
E_excitement_seeking_1,Love excitement.
E_excitement_seeking_2,Seek adventure.
E_excitement_seeking_3,Enjoy being reckless.
E_excitement_seeking_4,Act wild and crazy.
E_friendliness_1,Make friends easily.
E_friendliness_2,Feel comfortable around people.
E_friendliness_3,Avoid contacts with others.
E_friendliness_4,Keep others at a distance.
E_gregariousness_1,Love large parties.
E_gregariousness_2,Talk to a lot of different people at parties.
E_gregariousness_3,Prefer to be alone.
E_gregariousness_4,Avoid crowds.
